method,gamma,lambda1,lambda2,lambda_e,lambda_e1,lambda_e21,lambda_z,val_ari,val_f1,score
SSC-TV-E1E21,0.5,,,,0.05,0.05,0.1,0.984037360359939,0.5499999999999999,1.121537360359939
SSC-TV-E1E21,0.01,,,,0.05,0.2,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,0.05,0.2,0.1,0.8179443889698752,0.15000000000000002,0.8554443889698752
SSC-TV-E1E21,0.5,,,,0.05,0.2,0.1,0.9927016425234527,0.21250000000000002,1.0458266425234528
SSC-TV-E1E21,0.01,,,,0.05,1.0,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,0.05,1.0,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,0.05,1.0,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,0.2,0.05,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,0.2,0.05,0.1,0.8049237290243483,0.06250000000000001,0.8205487290243483
SSC-TV-E1E21,0.5,,,,0.2,0.05,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,0.2,0.2,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,0.2,0.2,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,0.2,0.2,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,0.2,1.0,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,0.2,1.0,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,0.2,1.0,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,1.0,0.05,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,1.0,0.05,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,1.0,0.05,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,1.0,0.2,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,1.0,0.2,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,1.0,0.2,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21,0.01,,,,1.0,1.0,0.1,0.19543837135495673,0.06250000000000001,0.21106337135495673
SSC-TV-E1E21,0.1,,,,1.0,1.0,0.1,0.8040202290282578,0.06250000000000001,0.8196452290282578
SSC-TV-E1E21,0.5,,,,1.0,1.0,0.1,0.9916745412663924,0.06250000000000001,1.0072995412663925
SSC-TV-E1E21-L21-P,0.01,,,,0.05,0.05,0.1,0.12189240851853221,0.06250000000000001,0.13751740851853222
SSC-TV-E1E21-L21-P,0.1,,,,0.05,0.05,0.1,0.5912409481071377,0.33749999999999997,0.6756159481071377
SSC-TV-E1E21-L21-P,0.5,,,,0.05,0.05,0.1,1.0,0.55,1.1375
SSC-TV-E1E21-L21-P,0.01,,,,0.05,0.2,0.1,0.12243299654105597,0.06250000000000001,0.13805799654105597
SSC-TV-E1E21-L21-P,0.1,,,,0.05,0.2,0.1,0.5374891390340115,0.07500000000000001,0.5562391390340116
SSC-TV-E1E21-L21-P,0.5,,,,0.05,0.2,0.1,0.9977413910063816,0.22500000000000003,1.0539913910063816
SSC-TV-E1E21-L21-P,0.01,,,,0.05,1.0,0.1,0.12243299654105597,0.06250000000000001,0.13805799654105597
SSC-TV-E1E21-L21-P,0.1,,,,0.05,1.0,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,0.05,1.0,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,0.2,0.05,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,0.2,0.05,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,0.2,0.05,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,0.2,0.2,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,0.2,0.2,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,0.2,0.2,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,0.2,1.0,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,0.2,1.0,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,0.2,1.0,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,1.0,0.05,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,1.0,0.05,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,1.0,0.05,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,1.0,0.2,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,1.0,0.2,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,1.0,0.2,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-P,0.01,,,,1.0,1.0,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-E1E21-L21-P,0.1,,,,1.0,1.0,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-E1E21-L21-P,0.5,,,,1.0,1.0,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-E1E21-L21-PQ,0.01,,,,0.05,0.05,0.1,0.0355060258951345,0.06250000000000001,0.051131025895134505
SSC-TV-E1E21-L21-PQ,0.1,,,,0.05,0.05,0.1,0.16533119650159206,0.075,0.18408119650159205
SSC-TV-E1E21-L21-PQ,0.5,,,,0.05,0.05,0.1,0.557503410177481,0.3,0.6325034101774809
SSC-TV-E1E21-L21-PQ,0.01,,,,0.05,0.2,0.1,0.03560934513676016,0.06250000000000001,0.05123434513676016
SSC-TV-E1E21-L21-PQ,0.1,,,,0.05,0.2,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,0.05,0.2,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,0.05,1.0,0.1,0.03560934513676016,0.06250000000000001,0.05123434513676016
SSC-TV-E1E21-L21-PQ,0.1,,,,0.05,1.0,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,0.05,1.0,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,0.2,0.05,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,0.2,0.05,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,0.2,0.05,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
